id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50197119,Tokyo Retreat near Downtown Austin | Comfy King Bed | Fast WiFi | 1B1B,243684594,Shirley,,78741,30.2296,-97.71915,Entire home/apt,82,1,5,2021-11-24,0.90,40,365,5,
50197739,Amenity Filled Pet-Friendly East Side Apartment,373424555,Lynn,,78702,30.25209,-97.69386,Entire home/apt,108,7,5,2021-12-06,1.42,8,301,5,
50199259,The Dome | Unique Vintage 4B/3B on Lake Austin,150126490,Caroline,,78746,30.32543,-97.77881,Entire home/apt,657,2,14,2021-11-26,3.00,1,139,14,
50199381,Landing | Modern Apartment with Amazing Amenities (ID292153),263502162,Landing,,78756,30.32063,-97.73281,Entire home/apt,66,30,0,,,44,313,0,
50204055,“Relaxing Venice” in Upscale Area by Apple/Indeed,184511974,Mich,,78759,30.39528,-97.75131,Private room,62,5,3,2021-10-22,0.55,10,314,3,
50206268,Live + Work + Stay + Easy | 1BR in Austin,359036978,Casey,,78704,30.23945,-97.78803,Entire home/apt,168,30,0,,,329,365,0,
50208803,F03 PET FRIENDLY Queen Bed Studio Suite 1st Floor,20851570,Lindsey,,78752,30.32855,-97.7025,Entire home/apt,70,1,8,2021-11-24,1.30,40,151,8,
50210528,Spacious Oasis w/ POOL VIEW 6min to DT | Queen2BR,85169076,VW Property Solutions LLC,,78702,30.25246,-97.69437,Entire home/apt,241,2,13,2021-11-28,2.15,2,166,13,
50214558,3 BD Relaxing Austin Apt.,276920863,Susana,,78705,30.28481,-97.7467,Entire home/apt,109,2,15,2021-11-12,2.45,24,82,15,
50214844,Modern 3 BD-- Central Austin,276920863,Susana,,78705,30.28421,-97.74737,Entire home/apt,175,2,13,2021-11-12,2.22,24,74,13,
50215077,Luxury Oasis | Hill Country Galleria| Lake| Pool,398934409,AK Luxury Properties,,78738,30.30198,-97.93234,Entire home/apt,137,2,15,2021-12-05,2.46,3,133,15,
50215624,Modern Tarrytown Home,11246156,Daniel,,78703,30.28652,-97.77097,Entire home/apt,615,7,1,2021-11-21,1,1,364,1,
50216226,Club Wyndham Austin- 2BD,14143158,Bethany,,78701,30.27055,-97.74777,Entire home/apt,225,3,0,,,1,0,0,
